subject,party,poll_start,poll_end,pollster,grade,sample_size,population,poll_weight,poll_influence,approve,disapprove,approve_adjusted,disapprove_adjusted,registered_voter,likely_voter
Biden,D,2021-01-24,2021-01-26,YouGov,B+,477,unregistered,0.62852377,0,84,3,86.911862,2.3293228,FALSE,FALSE
Biden,D,2021-01-28,2021-02-01,Quinnipiac University,A-,333.25,unregistered,0.63171525,0,93,5,92.320673,5.4727051,FALSE,FALSE
Biden,D,2021-01-29,2021-02-01,Morning Consult,B,808,registered voter,0.83374667,0,89,7,90.425901,6.3301544,TRUE,FALSE
Biden,D,2021-01-31,2021-02-02,YouGov,B+,484,unregistered,0.54932427,0,88,7,90.911862,6.3293228,FALSE,FALSE
Biden,D,2021-02-02,2021-02-02,Data for Progress,B,564,unregistered,0.88839773,0,89.22,7.14,89.629258,6.6697345,FALSE,FALSE
Biden,D,2021-02-05,2021-02-07,YouGov,B+,336,unregistered,0.35218737,0,88,8,90.911862,7.3293228,FALSE,FALSE
Biden,D,2021-02-06,2021-02-09,YouGov,B+,566,unregistered,0.57737008,0,89,5,91.911862,4.3293228,FALSE,FALSE
Biden,D,2021-02-03,2021-02-18,Gallup,B+,326,unregistered,0.64281755,0,95,5,94.656409,4.5788953,FALSE,FALSE
Biden,D,2021-02-11,2021-02-15,Global Strategy Group/GBAO (Navigator Research),B/C,426.8,registered voter,0.55080056,0,93,3,92.400862,3.5028142,TRUE,FALSE
Biden,D,2021-02-11,2021-02-14,Quinnipiac University,A-,306.24,unregistered,0.58374416,0,95,2,94.320673,2.4727051,FALSE,FALSE
Biden,D,2021-02-12,2021-02-15,YouGov,B+,332,unregistered,0.33126549,0,86,4,88.911862,3.3293228,FALSE,FALSE
Biden,D,2021-02-12,2021-02-15,Morning Consult,B,800,registered voter,0.62621015,0,88,6,89.425901,5.3301544,TRUE,FALSE
Biden,D,2021-02-13,2021-02-16,YouGov,B+,517,unregistered,0.51542643,0,91,5,93.911862,4.3293228,FALSE,FALSE
Biden,D,2021-02-18,2021-02-20,Morning Consult,B,999.95,registered voter,0.73752196,0,91,6,92.425901,5.3301544,TRUE,FALSE
Biden,D,2021-02-17,2021-02-20,American Research Group,C+,365,unregistered,0.56188532,0,98,1,95.718316,3.0519352,FALSE,FALSE
Biden,D,2021-02-15,2021-02-23,Kaiser Family Foundation,NA,764,unregistered,1.3527923,0,92,3,92.002069,3.6135635,FALSE,FALSE
Biden,D,2021-02-19,2021-02-22,YouGov,B+,520,unregistered,0.52309329,0,87,7,89.911862,6.3293228,FALSE,FALSE
Biden,D,2021-02-23,2021-02-25,Harris Insights & Analytics,B+,658,registered voter,0.73326005,0,93,7,92.040754,6.609612,TRUE,FALSE
Biden,D,2021-02-23,2021-02-24,Harris Insights & Analytics,B+,999.95,registered voter,1.1143213,0,92,8,91.040754,7.609612,TRUE,FALSE
Biden,D,2021-02-25,2021-03-01,Global Strategy Group/GBAO (Navigator Research),B/C,412.87,registered voter,0.48383715,0,93,5,92.400862,5.5028142,TRUE,FALSE
Biden,D,2021-02-25,2021-03-01,AP-NORC,NA,630.96,unregistered,0.99482162,0,97,3,95.79637,3.403384,FALSE,FALSE
Biden,D,2021-02-26,2021-03-01,Morning Consult,B,798,registered voter,0.62639373,0,87,9,88.425901,8.3301544,TRUE,FALSE
Biden,D,2021-02-27,2021-03-02,YouGov,B+,531,unregistered,0.52059261,0,85,7,87.911862,6.3293228,FALSE,FALSE
Biden,D,2021-03-02,2021-03-02,Data for Progress,B,457,unregistered,0.73930384,0,90.46,6.41,90.869258,5.9397345,FALSE,FALSE
