CZ,CZ Name,State,Census 2000 population,Urban Areas,Frac. Black,Racial Segregation,Income Segregation,Segregation of Poverty (<p25),Segregation of Affluence (>p75),Frac. with Commute < 15 Mins,Household Income per capita,Gini,Top 1% Income Share,Gini Bottom 99%,Frac. Between p25 and p75,Local Tax Rate,Local Government Expenditures Per Capita,State Income Tax Progressivity,State EITC Exposure,School Expenditure per Student,Teacher Student Ratio,Test Score Percentile (Income Adjusted,High School Dropout Rate (Income Adjusted),Number of Colleges per Capita,College Tuition,College Graduation Rate (Income Adjusted),Labor Force Participation Rate,Manufacturing Employment Share,Growth in Chinese Imports 1990-2000,Teenage Labor Force Participation Rate,Migration Inflow Rate,Migration Outlflow Rate,Frac. Foreign Born,Social Capital Index,Fraction Religious,Violent Crime Rate,Fraction of Children with Single Mothers,Fraction of Adults Divorced,Fraction of Adults Married,Income Growth 2000-2006/10
100,Johnson City,TN,"576,081",1,0.021,0.09,0.035,0.03,0.038,0.325,31560,0.468,13.459,0.333,0.548,0.02,1886,0,0,5.185,,2.728,-0.015,0.014,4817,-0.002,0.587,0.237,5.294,0.004,0.006,0.005,0.012,-0.298,0.514,0.001,0.19,0.11,0.601,-0.002
200,Morristown,TN,"227,816",1,0.02,0.093,0.026,0.028,0.025,0.276,29959,0.435,10.631,0.328,0.538,0.023,2004,0,0,4.506,,-3.4,-0.024,0.009,4762,-0.101,0.625,0.238,3.03,0.005,0.016,0.014,0.023,-0.767,0.544,0.002,0.185,0.116,0.613,-0.002
301,Middlesborough,TN,"66,708",0,0.015,0.064,0.024,0.015,0.026,0.359,22328,0.441,10.691,0.334,0.467,0.015,1190,0,0,5.614,15.1,-9.315,-0.005,0.045,11840,0.111,0.479,0.234,2.063,0.003,0.008,0.012,0.007,-1.27,0.668,0.001,0.211,0.113,0.59,-0.004
302,Knoxville,TN,"727,600",1,0.056,0.21,0.092,0.084,0.102,0.269,35884,0.508,15.08,0.358,0.504,0.019,2357,0,0,4.9,,-6.032,-0.011,0.011,3480,-0.024,0.615,0.146,1.078,0.004,0.016,0.014,0.02,-0.222,0.602,0.001,0.206,0.114,0.575,-0.002
401,Winston-Salem,NC,"493,180",1,0.174,0.262,0.072,0.061,0.081,0.292,38892,0.466,11.917,0.346,0.5,0.018,1891,1,0,5.463,15.4,-2.297,0.023,0.014,9715,0.052,0.656,0.215,1.016,0.004,0.022,0.019,0.053,-0.018,0.488,0.003,0.22,0.092,0.586,-0.014
402,Martinsville,VA,"92,753",0,0.224,0.137,0.024,0.015,0.028,0.313,31265,0.444,10.68,0.338,0.538,0.015,1558,0,0,5.74,,4.227,,0.011,1113,-0.116,0.599,0.395,3.277,0.003,0.007,0.01,0.025,-0.903,0.454,0.002,0.241,0.096,0.58,-0.011
500,Greensboro,NC,"1,055,133",1,0.218,0.22,0.068,0.058,0.077,0.305,36582,0.524,18.228,0.341,0.51,0.017,1932,1,0,5.008,16.7,-3.716,0.016,0.014,4528,-0.017,0.666,0.261,2.051,0.004,0.017,0.015,0.05,-0.513,0.434,0.003,0.237,0.096,0.56,-0.014
601,North Wilkesboro,NC,"90,016",0,0.032,0.114,0.012,0.009,0.012,0.289,31544,0.446,12.645,0.32,0.56,0.014,1661,1,0,5.296,16.2,6.698,0.021,0.011,880,-0.123,0.617,0.275,2.573,0.003,0.012,0.012,0.027,-0.193,0.561,0.003,0.165,0.087,0.632,-0.011
602,Galax,VA,"64,676",0,0.029,0.131,0.005,0.004,0.006,0.325,30683,0.356,8.706,0.269,0.608,0.014,1208,0,0,5.377,12.3,4.9,,,,,0.594,0.321,4.303,0.004,0.006,0.006,0.023,-0.801,0.43,0.001,0.167,0.089,0.622,-0.01
700,Spartanburg,SC,"354,533",1,0.207,0.139,0.045,0.044,0.045,0.299,33417,0.471,13.061,0.341,0.529,0.018,2499,0,0,5.421,15.9,-1.009,,0.02,7264,0.007,0.63,0.295,0.946,0.004,0.017,0.016,0.029,-1.001,0.596,0.003,0.246,0.099,0.561,-0.014
800,Gastonia,NC,"413,331",1,0.138,0.134,0.038,0.034,0.041,0.288,33582,0.415,10.08,0.314,0.544,0.015,1996,1,0,5.251,16.4,2.412,0.03,0.015,10244,-0.102,0.648,0.311,1.466,0.003,0.017,0.015,0.029,-0.659,0.601,0.004,0.214,0.094,0.596,-0.014
900,Charlotte,NC,"1,423,942",1,0.227,0.223,0.098,0.078,0.12,0.241,41423,0.516,15.613,0.36,0.477,0.02,2701,1,0,5.674,17,-2.291,0.023,0.013,4790,-0.021,0.696,0.171,0.837,0.004,0.034,0.021,0.065,-0.484,0.496,0.004,0.219,0.088,0.563,-0.011
1001,Boone,NC,"77,361",0,0.022,0.076,0.031,0.028,0.031,0.375,25953,0.487,14.276,0.344,0.53,0.022,1348,1,0,5.264,13.9,9.978,0.013,0.026,1674,0.236,0.589,0.11,2.011,0.004,0.014,0.017,0.018,0.012,0.488,0.002,0.167,0.09,0.527,0.002
1002,Morganton,NC,"164,760",1,0.047,0.117,0.012,0.011,0.011,0.315,30726,0.351,7.776,0.273,0.603,0.014,1826,1,0,4.926,15.7,5.556,0.018,0.018,888,-0.155,0.61,0.355,3.332,0.004,0.013,0.015,0.038,-0.231,0.569,0.002,0.179,0.096,0.607,-0.016
1100,Hickory,NC,"375,363",1,0.091,0.134,0.038,0.029,0.042,0.322,36024,0.435,11.834,0.317,0.568,0.015,1917,1,0,5.205,16.7,3.202,0.026,0.011,4109,-0.164,0.688,0.365,3.949,0.004,0.022,0.019,0.042,-0.235,0.578,0.002,0.19,0.095,0.601,-0.014
1201,Franklin,NC,"44,861",0,0.01,0.044,0.011,0.009,0.011,0.416,37261,0.516,20.552,0.311,0.565,0.024,1434,1,0,5.199,15.8,4.11,0.034,,,,0.558,0.158,1.1,0.006,0.012,0.01,0.031,-0.234,0.613,0.002,0.166,0.103,0.624,0.009
1202,Sylva,NC,"54,082",0,0.014,0.326,0.016,0.02,0.014,0.412,28767,0.404,8.421,0.32,0.521,0.015,1581,1,0,5.622,14.6,3.849,0.022,0.037,971,0.112,0.609,0.106,6.567,0.005,0.01,0.01,0.015,-1.001,0.409,0.002,0.217,0.099,0.582,-0.008
1203,Asheville,NC,"398,505",1,0.05,0.168,0.036,0.034,0.037,0.314,37445,0.461,13.046,0.331,0.545,0.018,2059,1,0,5.649,16.2,9.045,0.024,0.023,5560,0.001,0.604,0.178,1.827,0.005,0.017,0.013,0.038,0.055,0.577,0.003,0.203,0.099,0.592,-0.002
1204,Andrews,NC,"59,681",0,0.009,0.051,0.008,0.007,0.007,0.361,33712,0.847,55.821,0.289,0.519,0.015,1932,1,0,5.167,15.7,1.551,0.017,0.034,7563,-0.11,0.525,0.154,2.853,0.005,0.012,0.004,0.015,-0.999,0.549,0.002,0.166,0.089,0.648,0.005
1301,Bennettsville,SC,"71,586",0,0.4,0.077,0.01,0.008,0.007,0.34,25531,0.455,12.783,0.327,0.439,0.02,1335,0,0,5.493,14.9,-10.92,0.019,0.014,1272,-0.112,0.574,0.36,2.828,0.002,0.015,0.018,0.012,-2.44,0.49,0.004,0.316,0.091,0.519,-0.024
1302,Florence,SC,"548,986",1,0.341,0.201,0.047,0.054,0.043,0.327,32610,0.552,13.675,0.415,0.422,0.021,1726,0,0,5.71,15.9,-2.106,-0.018,0.013,3523,-0.032,0.615,0.162,1.06,0.004,0.023,0.014,0.023,-1.958,0.436,0.003,0.295,0.095,0.529,-0.006
